names,ids,bds
Margret Hafen,-10580, 
Anna Berecz,245051,1988
Evgenija Iwatschenko,485198,1975
Brigitte Oertli,515091,1962
Tess Davies,107027,1991
Sylvia Eder,55020,1965
Anna Archibald,-10045, 
Petra Kronberger,55042,1969
Beth Madsen,-10090, 
Annick Chappot,515036,1968
Marija Trmcic,315174,1986
Monika Maierhofer,55049,1967
Jonna Luthman,506860,15-10-1998
Katja Wirth,55538,1980
Angelika Hurler,205074,1966
Tamara Mueller,515403,1977
Andrea Ellenberger,516283,22-03-1993
Vanessa Vidal,195215,1974
Marina Nigg,355040,1984
Pernilla Wiberg,505083,1970
Elena Medzihradska,-10238, 
Kathy Kreiner,-10499,1957
Tii-Maria Romar,185229,1986
Esther Good,515855,1987
Vera Tschurtschenthaler,299822,30-03-1997
Monika Tschirky,515286,1973
Angelique Moser,405006,1979
Brigitte Acton,106527,1985
Jana Staffenova,705267,1982
Sona Maculova,705327,1987
Alenka Dovzan,565109,1976
Fabienne Serrat,-10269,1956
Marie-Michele Gagnon,105269,25-04-1989
Isabelle Sourd,195275,1975
Sarah Pardeller,297233,1988
Petra Robnik,565261,1984
Pamela Thorburn,225308,1986
Carolin Fernsebner,206078,1986
Selina Egloff,516631,13-09-2001
Camilla Alfieri,296476,1985
Siri Bjoergen,425378,1979
Elisabeth Warter,-10244, 
Eva Huckova,705305,1986
Elisabeth Kappaurer,56199,30-09-1994
Abbi Fisher,-10001,1957
Maria Bedareva,485632,1992
Monica Huebner,206290,1990
Karin Dedler,205019,1963
Daniela Zini,-10196,1959
Sabina Panzanini,295229,1972
Gaby May,515082,1968
Nives Sitar,565047,1972
Christa Puschmann,-10149, 
Klara Livk,565403,22-12-1994
Emma Furuvik,255174,1981
Karin Truppe,55359,1978
Alexandra Meissnitzer,55212,1973
Brigitte Obermoser,55261,1976
Holly Beth Flanders,-10382,1957
Nina Halme,185281,1990
Heidi Bowes,535022,1962
Daria Krajewska,435404,06-01-1998
Mizue Hoshi,306096,02-09-1985
Zali Steggall,45002,1974
Dagny Linda Kristjansdottir,255098,1980
Therese Borssen,505610,1984
Abby Ghent,539363,1992
Andrea Filser,206497,25-03-1993
Olha Knysh,695108,06-10-1995
Nika Tomsic,565488,01-03-2000
Sofie Olofsson,505351,1979
Magdalena Luczak,435432,31-12-2001
Mireia Tomas,495683,1988
Barbara Merlin,295191,1972
Kathrin Hoelzl,205993,1984
Ragnhild Mowinckel,425929,12-09-1992
Sophie Soelling,175024,1981
Sonia Vierin,295807,1977
Astrid Vierthaler,55622,1982
Erika Hess,-10252,1962
Jessica Walter,355038,1984
Piera Macchi,-10760, 
Lilian Kummer,515095,1975
Heidi Zeller - Baehler,515138,1967
Katarzyna Wasek,435371,06-03-1996
Sarah Schleper,536481,19-02-1979
Silke Bachmann,295738,1977
Asa Ando,307493,24-04-1996
Maria Riesch Hoefl,206001,1984
Irene Epple,-10398,1957
Kendra Kobelka,105065,1967
Caroline Dupraz,195915,1981
Josephine Forni,197540,27-06-1994
Katja Horvat,565400,1993
Edith Rozsa,105347,1973
Roberta Midali,298723,10-11-1994
Sabrina Fanchini,297171,1988
Annie Winquist,425982,1993
Magdalena Egger,56551,22-01-2001
Sophie Caprio,-10860, 
Corinne Imlig,515496,1979
Annick Bonzon,515210,1971
Marie Lamure,198176,14-07-2001
Ieva Januskeviciute,785007,22-09-1994
Becky Dorsey,-10077, 
Nina Perner,206099,1986
Christelle Felisaz,195334,1972
Lisa Grill,56509,02-09-2000
Lucia Mazzotti,296623,1985
Sabrina Simader,6000000,13-04-1998
Vanessa Kasper,516407,08-12-1996
Kathrin Fuhrer,515937,1988
Jelena Lolovic,315149,1981
Christine Rolland,-10167, 
Christin Cooper,-10158,1959
Monika Bader,-10668, 
Marine Oberson,516153,1991
Hannah Koeck,56206,22-10-1994
Elsa Haakansson Fermbaeck,506867,28-03-1998
Diana Lemberger,205583,1977
Patrizia Dorsch,206520,15-02-1994
Cathrine Meisingset,425579,1985
Ilka Stuhec,565360,26-10-1990
Grete Stroem,425091,1975
Tori Pillinger,535165,1966
Floriane Paturel,195840,1980
Kristina Andersson,505006,1965
Cathy Chedal,195042,1968
Gabriela Zingre-Graf,515235,1970
Kaja Norbye,426303,19-05-1999
Florencia Marinovic,115127,1991
Luana Fluetsch,516373,10-01-1995
Raquel Rienda Contreras,495167,1976
Chantal Knapp,535128,1966
Jessica C Kelley,537230,1982
Veronika Vitzthum,-10919, 
Traudl Haecher,205049,1962
Sovrana Welf,295542,1973
Carolyn Oughton,-10132, 
Maria Epple,-10581,1959
Taina Barioz,196725,02-06-1988
Jonna Mendes,536477,1979
Bojana Dornig,-10105, 
Kiki Cutter,-10508,1949
Doriane Escane,198016,08-01-1999
Aline Triponez,515183,1970
Pascale Berthod,515841,1987
Jeromine Geroudet,197009,1990
Barbara Kantorova,705394,03-03-1992
Nina Tipotsch,55922,1988
Nadine Fest,56417,28-06-1998
Mira Golub,485019,1975
Emi Kawabata,305068,1970
Franziska Gritsch,56392,15-03-1997
Merete Fjeldavlie,425022,1968
Camille Rast,516562,09-07-1999
Keely Blair Kelleher,537565,1984
Jana Skvarkova,705378,1991
Piera Hudson,415205,07-02-1996
Marianne Hefti,-10588, 
Perrine Pelen,-10731,1960
Selina Heregger,55290,1977
Elisa Platino,6295186,08-01-1999
Sara Ramentol,25188,1996
Leona Popovic,385096,13-11-1997
Petra Vlhova,705423,13-06-1995
Britt Janyk,106022,1980
Julie Duvillard,195311,1978
Tina Maze,565243,02-05-1983
Christine Klossner,-10163, 
Karen Persyn,65038,1983
Katie Hensien,6536171,01-12-1999
Stefanie Schuster,55075,1969
Jade Grillet Aubert,197850,22-11-1997
Gerry Sorensen,-10314,1958
Barbara Brlec,565003,1972
Bogdana Matsotska,695063,1989
Roswitha Steiner,-10818,1963
Kerstin Riediger,205153,1972
Karin Hackl,55952,1989
Christelle Guignard,195088,1962
Rosina Schneeberger,56241,16-01-1994
Claudine Emonet,195060,1962
Huberta Wolf,-10385, 
Marie Marchand-Arvier,196460,1985
Aita Camastral,515639,1983
Emilie Depommier,195913,1981
Divina Galica,-10215, 
Regina Sackl,-10768,1959
Kristen Mielke,537144,1982
Marianne Brechu,195100,1975
Katia Santus,295932,1979
Brigitte Totschnig,-10117,1954
Matilda Sola,385071,1994
Catherine Andeer,-10137, 
Simone Wild,516268,07-12-1993
Paola Mosca Barberis,295790,1977
Natasa Bokal,565004,1967
Spela Bracun,565136,1977
Diann Roffe Steinrotter,535176,1967
Karen Korfanta,-10482, 
Katyuscia Demez,295116,1972
Sara Partanen,185275,1989
Kristin Anna Lysdahl,426187,29-06-1996
Monika Hojstricova,705235,1975
Elena Yakovishina,485631,17-09-1992
Susanne Beer,205805,1981
Michaela Heider,56268,06-08-1995
Nathalie Eklund,506350,08-01-1992
Conchita Puig,-10180, 
Fabiana Dorigo,206793,12-05-1998
Maria Rosa Quario,-10585,1961
Manuela Suitner,55624,1982
Nicoletta Merighetti,-10687, 
Chemmy Alcott,225206,1982
Britt Lafforgue,-10118,1948
Audrey Peltier,195931,1981
Michaela Kofler,55307,1977
Vicky Grau,25019,1975
Edith Lindner,-10230, 
Anja Blieninger,205806,1981
Regula Betschart,-10770, 
Annalisa Ceresa,295265,1978
Verena Hoellbacher,55863,1987
Olesja Alieva,485217,1977
Karen Stemmle,105126,1964
Aurelie Revillet,196573,1986
Helga Lazak,205097,1967
Jolanda Kindle,355008,1965
Lisa Bremseth,425380,1979
Geertje Derksen,405060,18-07-1985
Marina Wallner,206536,07-11-1994
Rosi Aschenwald,-10812, 
Jutta Juutinen,185364,1993
Marina Huber,205716,1979
Resi Stiegler,537772,14-11-1985
Katja Jazbec,565323,1988
Noriyo Hiroi,305287,1976
Dagmara Krzyzynska,435130,1981
Stephanie Clement-Guy,195048,1974
Erika Dicht,515534,1981
Sohvi Virkkula,185357,30-09-1993
Katarina Lavtar,565331,1988
Cristina Gravina,-10188, 
Lynda McGehee,-10563, 
Nuria Pau,496055,24-02-1994
Carmen Casanova,515244,1980
Nathalie Groebli,516429,01-12-1996
Andrea Jardi,495763,1990
Laurie Kreiner,-10536, 
Gabriela Martinovova,155336,1981
Lara Gut Behrami,516138,27-04-1991
Eveline Rohregger,55313,1977
Regina Haeusl,205392,1973
Julie Bordeau,196621,1987
Moe Hanaoka,305962,1984
Erin Mielzynski,106961,25-05-1990
Laura Gianera,295640,1976
Jeannette Korten,45054,1976
Magda Mattel,195837,1980
Julia Roth,107312,1993
Christine von Gruenigen,515130,1964
Giulia Candiago,296689,1986
Dorota Tlalka,-10221,1963
Katrin Neuenschwander,515087,1971
Hiromi Yumoto,305694,1981
Therese Neergaard,425673,1987
Nancy Gee,105043,1968
Anna Prchal,105903,1979
Lucia Medzihradska,705018,1968
Kajsa Vickhoff Lie,426257,20-06-1998
Ingrid Lafforgue,-10394,1948
Monika Kaserer,-10675,1952
Rahel Kopp,516344,18-03-1994
Michaela Gerg-Leitner,205044,1965
Anna Sorokina,485570,1990
Betsy Clifford,-10091,1953
Yulia Siparenko,695017,1980
Christine Hintermaier,-10162, 
Kristine Kristiansen,425076,1975
Sissi Hinterreitner,25196,1997
Tamara Tippler,56088,09-04-1991
Birgit Heeb-Batliner,355002,1972
Olga Pall,-10698,1947
Daniela Zeiser,55675,1983
Hilary Lindh,535137,1969
Chisaki Maeda,307813,22-07-1998
Giovanna Gianera,295095,1968
Rebecca Buehler,355055,1992
Liisa Savijarvi,105120,1963
Michelle Gisin,516284,05-12-1993
Monika Springl,206173,1987
Pascaline Freiher,195070,1966
Rebeka Oblak,565490,01-06-2001
Mikaela Tommy,107532,10-05-1995
Polona Peharc,-10765, 
Francoise Bozon,-10284, 
Nadia Bonfini,-10679,1965
Eve Routhier,105615,1988
Marta Rossetti,6295165,25-03-1999
Nadejda Vassileva,95030,1978
Elena Curtoni,297910,03-02-1991
Hanna Aronsson Elfman,507109,2002
Juliana Suter,516519,23-04-1998
Astrid Loedemel,425175,1971
Renate Goetschl,55069,1975
Nicole Hosp,55690,1983
Veronika Stallmaier Wallinger,-10920, 
Patrizia Bassis,295463,1973
Eva Twardokens,535214,1965
Anja Paerson,505483,1981
Larisa Yurkiw,106849,1988
Hilary Longhini,296769,1986
Desiree Ajlec,565453,01-07-1996
Dajana Dengscherz,56336,1996
Ilze Abola,555003,1978
Lucie Hrstkova,155333,1981
Kiley Staples,535585,1989
Luisa Bertani,299388,14-06-1996
Lorina Zelger,516552,02-02-1999
Katharina Liensberger,56388,01-04-1997
Stefanie Moser,55913,1988
Tereza Charova,155559,1989
Isolde Kostner,295588,1975
Nadia Fanchini,296729,25-06-1986
Jennifer Mickelson,105764,1978
Valentina Volopichova,155695,1993
Sandra Poulsen,-10831, 
Helena Rapaport,506584,26-08-1994
Marlis Spescha,515116,1967
Andrea Salvenmoser,55067,1968
Sanni Leinonen,185271,1989
Barbora Lukacova,705363,1990
Karla Delago,-10496, 
Chloe Georges,195862,1980
Bente Giljarhus,425345,1978
Valentina Golenkova,485748,1994
Priska Nufer,516219,11-02-1992
Anne Sophie Barthet,196726,23-02-1988
Isabel Picenoni,515269,1972
Clothilde Weyrich,196412,1985
Fabienne Janka,516013,1989
Judy Nagel,536294,1951
Shannon Nobis,535327,1972
Brooke Wales,538975,1990
Maria Therese Tviberg,426043,07-04-1994
Ingrid Jacquemod,195671,1978
Nicole Linneberg,115002,1972
Daria Astapenko,485772,1994
Anastasiya Skryabina,695073,1985
Rabea Grand,515692,1984
Marlies Oester,515370,1976
Michaela Dygruber,56277,14-02-1995
Camille Cerutti,197956,22-12-1998
Denise Karbon,295445,1980
Wendy Allen,-10934, 
Christine Hargin,505396,1980
Kristina Kryukova,485926,28-11-1997
Gina Stechert,206175,1987
Sarah Elliot,107148,1992
Marusa Ferk,565320,27-09-1988
Jessica Depauli,56059,1991
Vivien Insam,299632,15-07-1997
Andrea Dettling,515849,19-01-1987
Erika Pykalainen,185475,21-04-2001
Karen Budge,-10481, 
Chiara Mair,56333,31-08-1996
Ursula Konzett,-10912,1959
Karianne Christiansen,-10486, 
Stephanie Venier,56177,19-12-1993
Maria Elena Rizzieri,297503,1989
Titti Rodling,505117,1970
Leila Demez,295038,1974
Nike Bent,505449,1981
Caroline Attia,195003,1960
Heidi Preuss,-10359, 
Meta Hrovat,565471,02-03-1998
Kathleen Monahan,535529,1972
Petra Wenzel,-10751, 
Alexandra Shaffer,535951,1976
Lotte Nogler,-10554, 
Debbie Armstrong,-10205,1963
Zuzana Smerciakova,705202,1977
Monika Knapp,295998,1981
Nathalie Robert,195641,1977
Francesca Marsaglia,297702,27-01-1990
Saana Ahonen,185383,1994
Sandra Gini,515619,1982
Nicole Delago,299466,05-01-1996
Anna Veith Fenninger,55947,18-06-1989
Christina Ager,56258,11-11-1995
Anna Hofer,297195,28-02-1988
Heidi Zimmermann,-10362,
Christina Geiger,205362,1971
Anna Swenn-Larsson,506146,18-06-1991
Cornelia Proell,-10183,1961
Maria Walliser,515134,1963
Anne Marie Mueller,425432,1980
Marie-Theres Sporer,56344,28-06-1996
