names,ids,bds
Vincent Lavoie,101375,1977
Antoine Marical,194332,1991
Marton Kekesi,240139,19-12-1995
Tuukka Kaukoniemi,180483,1985
Lars Olsson,-10530, 
Eric Poulsen,-10248, 
Ryan Oughtred,100457,1975
Jernej Koblar,560151,1971
Patrick Wright,103156,1986
Patrick Brachner,860005,07-01-1992
Greg Galeotti,194457,1992
Frederik Norys,202765,14-04-1996
Florian Scheiber,51332,17-05-1987
Daron Rahlves,531040,1973
Daniel Rienda Contreras,490566,1980
Franz Digruber,-10287, 
Kalle Palander,180251,1977
Markus Foser,350004,1968
Jens Henttinen,180718,02-01-1993
Dustin Cook,100558,11-02-1989
Jure Kosir,560033,1972
Jim Heuga,-10955, 
Martin Kroisleitner,50610,1978
Mattias Hargin,501111,07-10-1985
Roger Pramotton,290436,1969
Nicolas Lambert,194146,1990
Paolo Pangrazzi,294904,1988
Ace Tarberry,531156,1988
Philip Pugnat,-10755, 
Francisco Fernandez Ochoa,490221,1950
Maurizio Feller,291280,1974
Helmut Mayer,50130,1966
Lasse Hamre,-10533, 
Sami Uotila,180212,1976
Marcus Vorre,170159,08-07-1998
Nils Alphand,6190179,16-06-1996
Wojciech Zagorski,430357,1985
Claude Perrot,-10174, 
Mike Giannelli,101330,1977
Ernst Good,-10255, 
Ted Ligety,534562,31-08-1984
Bode Miller,532431,1977
Gino Caviezel,511852,23-06-1992
Martin Fiala,200080,1968
Leonardo David,-10542,1960
Woo-Sung Kim,320244,1986
Stefan Georgiev,90047,1977
Matthieu Osch,360046,01-04-1999
Michael Sablatnik,51250,1986
Werner Grissmann,-10936,1952
Konrad Walk,-10517,1965
Conrad Pridy,103385,1988
Steven Amiez,6190558,07-09-1998
Harald Chr. Strand Nilsen,420556,1971
Carl Jonsson,502417,11-05-2000
Craig Branch,40171,1977
Marc Girardelli,360002,1963
Ferran Terra,491129,1987
Michael Walchhofer,50041,1975
Rudi Sailer,-10821, 
Andreas Omminger,50997,1983
Johann F. Haraldsson,250107,1979
Riccardo Tonetti,291318,14-05-1989
Marc Digruber,51395,29-04-1988
Cyril Nocenti,191911,1982
Emir Lokmic,710362,23-12-1997
Philipp Zepnik,202125,1988
Jorge Mandru,110187,1986
Hank Kashiwa,-10346, 
Steven Lee,40023,1962
Antonio Villaroger Ristevski,750088,19-05-1989
Thierry Gentina,190165,1968
Jens Byggmark,501101,1985
Andreas Sprecher,-10032, 
Alexander Sannes Thorsen,422483,21-01-1996
Kevin Page,190510,1975
Daniel Hemetsberger,53975,23-05-1991
Pawel Babicki,430640,22-11-1994
Erjon Tola,800013,15-12-1986
Didier Bouvet,190058,1961
Michel Davare,292299,1981
Jeremy Palmer,-10439, 
Tomaz Cerkovnik,-10893,1960
Leopold Gruber,-10543, 
Markus Ganahl,350007,1975
Bruno Piazzalunga,-10122, 
Will Gregorak,930107,1990
Reinhard Schmalzl,-10771, 
Tor Melander,-10896, 
Marvin Ackermann,202290,1991
Claudio Sprecher,350069,1980
Andreas Nilsen,421098,1980
David Poisson,191964, 
Matthias Mayer,53902,09-06-1990
Saku Aho,180812,29-12-1997
Pierrick Bourgeat,190915,1976
Niels Hintermann,512124,05-05-1995
Patrice Bianchi,190034,1969
Thomas Dressen,202535,22-11-1993
Andrea Ballerin,290095,01-02-1989
Kurt Engl,50675,1979
Naoki Yuasa,301709,24-04-1983
Rishu Okada,300379,1978
Cedric Noger,511867,17-05-1992
Albert Burger,200046,1955
Franz Vogler,-10290,1944
Joel Chenal,190677,1973
Christoph Noesig,51159,1985
Roman Derezinski,-10807, 
Henrik Von Appen,110324,15-12-1994
Paul Accola,510001,1967
Jukka Rajala,180430,1982
Torjus Berge,-10900, 
Reinfried Herbst,50605,11-10-1978
Raphael Haaser,54445,17-09-1997
Emil Bjoertomt Kristiansen,421946,1990
Simon Fournier,104488,26-05-1997
Enis Becirbegovic,710223,1976
Mikio Katagiri,-10655, 
Hans Pieren,510198,1962
Leonhard Stock,50199,1958
Marcel Mathis,53985,1991
Luca De Aliprandini,990116,01-09-1990
Manuel Feller,54063,13-10-1992
Vitus Lueoend,511142,1984
Charlie Bergendahl,500438,1977
Peder Dahlum Eide,422300,06-06-1994
Clement Noel,6190403,03-05-1997
Andreas Zampa,700879,13-08-1993
Bjarne Solbakken,420911,18-05-1977
Paul McDonald,534748,1984
Alfred Hagn,-10023, 
Hideyuki Narita,304242,23-09-1993
Louis-Pierre Helie,103090,1986
Kelby Halbert,103656,1990
Michael Tritscher,50222,1965
Robbie Bosinger,100035,1966
Eugenio Claro,110320,1993
Giacomo Erlacher,-10316, 
Juuso Aulanko,180334,1979
Stian Saugestad,422120,12-10-1992
Raphael Himmelsbach,201603,1983
Alexandre Pittin,192122,1983
Stefan Babinsky,54371,02-04-1996
Evgeniy Timofeev,770015,16-10-1994
Peter Bylund,500726,1979
Jendrek Stanek,201449,1981
Bill Johnson,530176,1960
Hans Olsson,501076,1984
Riley Seger,104539,21-04-1997
Cedric Ochsner,512288,03-06-1998
Thomas Frey,192653,1984
Lorenzo Cancian,-10553, 
Thomas Stangassinger,50196,1965
Janez Zibler,-10423, 
Paolo De Chiesa,-10728, 
Fabio De Crignis,290172,1968
Vitalij Andreev,480082,1969
Karl Alpiger,-10490,1961
Hannes Brenner,51050,1984
Christophe Berra,510027,1965
Nick Cohee,530758,1988
Victor Schuller,6190006,11-01-1995
Fredrik Nyberg,500139,1969
Stefan Guay,103087,1986
Yves Dimier,190112,1969
Ivano Camozzi,290096,1962
Dumeng Giovanoli,-10224,1941
Michael Bonetti,510969,1982
Josef Polig,290426,1968
Massimo Penasa,292756,1983
Adur Etxezarreta,492063,27-01-1996
Jeremy Transue,533762,1983
Manfred Brunner,-10571, 
Sandro Simonet,512138,05-07-1995
Martin Hyska,700901,13-06-1994
Lasse Arnesen,420007,1965
Mathieu Faivre,194495,18-01-1992
Piotr Kaczmarek,430290,1982
Pierre Paquin,191462,1979
Fabian Gratz,202829,22-07-1997
Jos Minsch,-10463,1941
Nicolas Arsel,30160,1982
Ilario Pegorari,-10388, 
Guillermo Fayed,192932,1985
Angus Howden,410198,1981
Florian Loriot,6190687,21-11-1998
Rob Boyd,100040,1966
Matthias Lanzinger,50743,1980
Marc Gisin,511529,25-06-1988
Daniel Paulus,151060,09-06-1994
Petteri Kantola,180502,1986
Chad Mullen,100211,1974
Robin Buffet,194262,14-10-1991
Louis Jauffret,-10555, 
Tom Verbeke,60256,13-06-1997
Timo Bruederl,200272,1989
Moreno Testorelli,511348,1986
Stefan Luitz,202437,26-03-1992
Hig Roberts,934566,15-03-1991
Miran Rauter,560053,1972
Jaroslav Babusiak,700724,1984
Jaba Gelashvili,680053,07-03-1993
Graham Bell,220003,1966
Frederic Berthold,53968,03-06-1991
Artem Borodaykin,481514,1994
Drew Duffy,6531127,01-06-1995
Alain Villiard,-10010,1965
Armand Schiele,190321,1967
Mario Reiter,50309,1970
Matej Falat,700868,08-02-1993
Patrick Russel,-10719,1946
Andreas Buder,50695,1979
Patrice Pellat Finet,-10715, 
Jim Barrows,-10441, 
Ivan Heimschild,700037,1980
Juhan Luik,390041,25-11-1997
Thomas Dorner,54471,22-07-1998
Matteo Berbenni,291990,1979
Jeremie Durand,193212,1986
Simon Piolaine,6190467,17-06-1997
Andre Myhrer,501017,11-01-1983
Gerhard Nenning,-10306,1940
Daniel Caduff,510046,1968
Ola Buer Johansen,422275,03-08-1993
Julian Rauchfuss,202584,02-09-1994
Rob Crossan,100072,1968
Hannes Wagner,201900,1986
John Piccard,-10452,1965
Axel Baeck,501223,1987
Thomas Vonn,532028,1975
Stein Kristian Strand,421040,1979
Bastian Meisen,202764,20-04-1996
Conradin Cathomen,-10181,1959
Kurt Huggler,-10523, 
Toni Ollikka,180280,1978
Rasmus Windingstad,422278,31-10-1993
Andrej Sporn,560447,01-12-1981
Georg Streitberger,50858,1981
Cristian Deville,291145,1981
Frederic Covili,190236,1975
Matevz Rupnik,561369,04-10-1997
Brett Fischer,532167,1977
Paul Frommelt,350005,1957
Adam Barwood,410365,30-07-1992
Nils Allegre,194858,02-01-1994
Broderick Thompson,104096,19-04-1994
George Steffey,6531963,08-08-1997
Heinz Weixelbaum,-10366, 
Tomas Kraus,150014,1974
Niklas Rainer,501026,09-05-1983
Sebastian Liebl,200337,1989
Willis Feasey,410364,28-08-1992
Theo Letitre,6190497,17-12-1997
Maxence Muzaton,194167,26-06-1990
Laurent Mazzili,-10534, 
Mario Herzog,51232,1986
Matthew Grosjean,530527,1970
Sebastian Brigovic,380318,1992
Peter Struger,50919,1982
Juan Del Campo,491853,28-06-1994
Sven Schnitzenbaumer,200238,1975
Daniel Fischer,201784,1985
Anton Tremmel,202615,26-11-1994
Alan Perathoner,291404,1976
Gianluca Grigoletto,290145,1974
Giovanni Borsotti,990048,18-12-1990
Marian Bires,700002,1964
Stephanos Tsimikalis,230165,1985
Andrej Krizaj,561085,1986
Herbert Huber,-10376,1944
Pol Carreras,491356,1990
Elian Lehto,180877,02-06-2000
Wiley Maple,930024,25-05-1990
Josef Walcher,-10466,1954
Simon Stancel,700808,1988
Ingvar Bergstedt,-10396, 
Fabrizio Tescari,290531,1969
Brice Roger,194190,09-08-1990
Kurt Engstler,-10521, 
Dominik Schwaiger,202345,01-05-1991
Wisi Betschart,531819,1976
Olindo Cozzio,-10699, 
Charlie Raposo,221213,15-01-1996
Vassilis Dimitriadis,230080,1978
Morgan Hellum,170091,1980
Jerome Baptendier,190086,1975
Ioan Valeriu Achiriloaie,460071,20-08-1990
Edmund Bruggmann,-10234,1943
Jan Hudec,102271,1981
Igor Cigolla,290118,1963
Leo Puentener,510517,1973
Petri Haerkoenen,180385,1981
Trevor White,102922,1984
Laurie Taylor,221236,10-02-1996
Francois Bourque,102814,1984
Daniel Demschar,40536,1994
Edi Reichart,-10228, 
Luca Pesando,290404,1966
Terry Palmer,-10882, 
Florian Eisath,292967,1984
Anton Steiner,-10063,1958
Anze Mravlja,561119,1987
Hannes Zehentner,200392,1965
Arnt Georg Kolle,420013,1974
Fredrik Nordh,501071,1984
Peter Runggaldier,290466,1968
Heinz Holzer,290284,1964
Olle Sundin,502230,17-12-1997
Luca Tiezza,292261,1981
Michael Zahnd,510487,1981
Bojan Krizaj,10104,1957
Maxime Rizzo,194664,01-11-1993
Asher Jordan,104710,23-11-1999
Peter Duncan,-10734, 
Miikka Mankinen,180820,07-05-1997
Johan Schreurs,60116,1983
Dan Axel Grahn,501992,05-06-1994
Jan Seiler,511063,1983
Guenther Mader,50127,1964
Vladimir Spider Sabich,-10861,1945
Hans Petter Buraas,420069,1975
Hiroaki Ohtaka,-10379, 
Giulio Bosca,990051,03-02-1990
Albert Ortega,492192,18-11-1998
Christian Wanninger,201445,1981
Calle Enocson,501105,1984
Christian Polig,290425,1966
Jonas Fravi,511682,1990
Doug Powell,-10223, 
Cory Carlson,-10185, 
Reto Beeli,-10778, 
Christian Walder,54009,31-08-1991
Ronald Stampfer,50474,1976
Johann Kniewasser,-10448, 
Thomas Loedler,380277,1973
Benjamin Griffin,410266,1986
Andreas Sander,200379,13-06-1989
Davide Simoncelli,292120,1979
Armin Bittner,200028,1964
Ivars Ciaguns,550004,1977
Norman Bergamelli,290803,1971
Manuel Osborne-Paradis,102899,08-02-1984
Robin Marullaz,191157,1977
Alexandre Borel,191592,1980
Peter Feyersinger,-10736, 
Simon Maurberger,6291430,20-02-1995
Luca Moretti,290924,1980
Stefan Kaelin,512480, 
Thomas Geisser,510715,1977
Max Julen,-10632,1961
Johan Pietilae Holmner,501557,1991
Jean Daniel Daetwyler,-10428,1945
Peter Soltys,-10748, 
Zan Kranjec,561244,15-11-1992
Gerhard Koenigsrainer,290299,1968
Pawel Starzyk,430610,1993
Steve Locher,510145,1967
Werner Margreiter,-10937, 
Bernhard Gstrein,50069,1965
Jeffrey M Harrison,534468,1984
Warner C Nickerson,534038,1981
Manuel Wieser,53922,1990
Jean Pierre Vidal,191139,1977
Andy Luhn,-10036, 
Christian Orlainsky,-10155,1962
Rok Perko,561067,10-06-1985
Markus Duerager,53936,20-02-1990
Lionel Finance,190138,1967
Konrad Hari,510207,1978
Steven Nyman,533866,12-02-1982
Frederic Marin Cudraz,190294,1974
Michael Ankeny,934502,1991
Thomas Mayrpeter,54099,05-05-1992
Luke Laidlaw,40489,1992
Alois Morgenstern,-10026, 
Aurelio Garcia,-10071, 
Martin Bendik,700878,27-04-1993
Urs Imboden,910000,1975
Mattia Casse,990081,19-02-1990
Casey Snyder,530715,1972
Nicolas Burtin,190097,1972
Pete Patterson,-10732, 
Peter Lakota,-10740, 
Roberto Spampatti,290518,1965
Alexandre Pasquier,193560,1987
Luc Henri Chevalier,40553,1992
Masashi Hanada,302449,1986
Anton Konovalov,480752,1985
Matej Vidovic,380334,14-04-1993
Luke Winters,6531936,02-04-1997
Michael Gufler,292056,1979
Jack Gower,221117,26-05-1994
Igor Laikert,710320,27-02-1991
Morgan Megarry,103997,26-05-1993
Gabriel Rivas,193334,1986
Josef Schick,-10465,1965
Stefan Kogler,201422,1981
Baptiste Alliot Lugaz,6190079,04-05-1995
Tom Rothrock,532497,1978
Wolfgang Junginger,-10949, 
Joonas Rasanen,180567,25-10-1989
Marco Tumler,511574,1988
Marco Pastore,201815,1973
Gerry Rinaldi,-10313, 
Miroslav Kolar,150011,1961
Tetsuya Okabe,300105,1965
Andreas Romar,180570,04-09-1989
Giuliano Razzoli,293098,18-12-1984
Massimiliano Blardone,292000,1979
Armand Marchant,60253,14-12-1997
Walter Vesti,-10931,1950
Kristjan Uni Oskarsson,250193,1984
Masanori Shin,304139,22-07-1993
Leo Lacroix,-10541, 
Robbie Dixon,102961,1985
Willy Raine,100472,1970
Cornel Zueger,510498,1981
Kamen Zlatkov,92719,09-08-1997
Igor Zakurdaev,670037,08-01-1987
Denis Rey,190297,1966
Tomaz Cizman,-10894,1965
Dennis McCoy,-10207, 
Bjarne Strand,-10096, 
Nico Gauer,350097,09-04-1996
Willi Frommelt,-10942, 
Roger Vidosa,20174,1984
Luca Aerni,511983,27-03-1993
Benjamin Gardet,193228,1986
James Leuzinger,220648,1982
Elia Zurbriggen,511741,09-10-1990
Norbert Wendner,-10692, 
Heinz Schilchegger,50271,1973
Iason Abramashvili,680041,26-04-1988
Juho-Pekka Penttinen,180631,1991
Klemen Kosi,561217,19-06-1991
Stephan Eberharter,50024,1969
Aronne Pieruz,292831,1983
Christoph Krenn,54209,07-07-1994
Tyler Werry,103762,1991
Manfred Pranger,50624,1978
Luke Sauder,100628,1970
Daniel Meier,54144,04-04-1993
Carlo Senoner,-10127,1943
Alain Navillod,-10008, 
Fritz Dopfer,202462,24-08-1987
Hans Grugger,50833,1981
Nick Zoricic,102630, 
Mark Tache,-10606, 
Didier Schmidt,190322,1967
Oswald Schranzhofer,291023,1970
Dardan Dehari,750089,23-08-1990
Brad Spence,102912,1984
Christopher Neumayer,54080,29-04-1992
Odd Sorli,-10694, 
Gerhard Prinzing,-10308, 
Martin Marinac,50688,1979
Gerhard Mussner,-10305, 
Chris Puckett,530562,1970
Ehlias Louis,531351,1974
Sam Mulligan,104529,20-02-1997
Arnold Rieder,291421,1976
Calle Lindh,501458,1990
Peter Fischer,-10737, 
Felix McGrath,-10275,1963
Alois Vogl,200251,1972
Gasper Markic,561087,1986
Patrik Jaerbyn,500150,1969
Daniel Danklmaier,54157,24-04-1993
Alexander Feinestam,500413,1974
John Kucera,102873,1984
Werner Marti,-10938, 
Zelimir Vukovic,310386,1983
Adam Chrapek,430617,24-09-1993
Endre Bjertness,422134,26-04-1992
Cristian Javier Simari Birkner,30149,04-10-1980
Thorsten Goetze,201097,1978
Shinya Chiba,-10848,1961
Filip Trejbal,150594,1985
Ambrosi Hoffmann,510767,1977
Brodie Seger,104272,28-12-1995
Peter Rzehak,50310,1970
Fabio Gstrein,54444,14-06-1997
Toshihiro Kaiwa,-10902,1955
Linus Strasser,202451,06-11-1992
Alexandru Barbu,460060,08-03-1987
Karl Cordin,-10492,1948
Franco Bieler,-10283,1950
Marco Schwarz,54320,16-08-1995
Mitja Valencic,560355,1978
Ulrich Perathoner,290453,1975
Pirmin Hacker,54346,16-11-1996
Bernhard Bauer,202372, 
Roman Torn,100308,1967
Petter Robertsson,501135,07-10-1985
Steffan Winkelhorst,400235,06-03-1992
Marcello Varallo,-10578, 
Erik Guay,102263,05-08-1981
Darren Thorburn,100493,1970
Bernd Felbinger,-10085, 
Martin Stricker,511817,1991
Kjetil Andre Aamodt,420382,02-09-1971
Sebastien Fournier-Bidoz,190945,1976
Mauro Cornaz,-10631, 
Ole Kristian Furuseth,420059,1967
Roope Leskinen,180602,1990
Atsushi Sawada,-10070, 
Alwin De Quartel,400131,1983
Jan Holicky,150007,1974
Bryce Stevens,40304,1984
Alex Hofer,6291374,15-09-1994
Ivan Pacak,-10401, 
Juho Dahl,180731,1994
Stefano Gross,293797,04-09-1986
Michel Canac,-10643, 
Patrick Kueng,511139,11-01-1984
Bjorn Gefle,-10097, 
Roger Cruickshank,220489,1982
Erwin Josi,-10260, 
Patrick Thaler,290732,1978
Aleksander Aamodt Kilde,422139,21-09-1992
Leyti Seck,470003,21-01-1981
Dominik Paris,291459,14-04-1989
Kasper Hietanen,180667,1991
Marko Rudic,710311,1990
Omar Longhi,290910,1980
Petter Brenna,421566,1986
Johnny Vicari,-10453, 
Simon Efimov,481785,14-10-1996
Werner Bleiner,-10935,1946
Philip Verneret,-10757,1962
Marcel Hirscher,53831,02-03-1989
Joachim Puchner,51327,1987
Thomas Fogdoe,500160,1970
Sepp Ferstl,-10840,1954
Samuel Dupratt,6530453,28-11-1993
Sebastien Amiez,190012,1972
Simon Bastelica,191214,1977
Cyprien Richard,191423,1979
James Crawford,104531,03-05-1997
Johannes Strolz,54093,12-09-1992
Trygve Sande,421034,1979
Stefano Baruffaldi,6290062,17-09-1992
Peter Jurko,-10739,1967
Patrick Bechter,50931,1982
Christian Spescha,511634,1989
Cyprien Sarrazin,194873,13-10-1994
Armin Assinger,50002,1964
Clic Bloomfield,531011,1973
Bernhard Graf,51401,1988
Tobias Stechert,201811,1985
Dagib Guliev,-10189, 
Silvano Varettoni,293141,1984
Harti Weirather,-10356,1958
Nikolai Hentsch,80058,1983
Stefan Rogentin,512038,16-05-1994
Roy Piccard,194650,02-12-1993
Ernst Winkler,-10259, 
Tomas Birkner De Miguel,30388,05-03-1997
Francois Place,193986,02-07-1989
Luca Cattaneo,290117,1972
Egon Hirt,-10235, 
Erwin Stricker,-10262, 
Michele Stefani,-10646,1948
Wolfgang Hoerl,50981,1983
Marcel Sulliger,510240,1967
Michael Gmeiner,51138,1985
Lasse Paulsen,420696,1974
Richard Kroell,50117,1968
Klaus Eberhard,-10510, 
Martin Bell,220004,1964
Alain Penz,-10009,1947
Arne Hardenberg,170037,1973
Peter Fill,292455,12-11-1982
Morgan Pridy,103612,1990
Rune Andre Oestby,420658,1973
Kristoffer Jakobsen,502015,09-09-1994
Santeri Paloniemi,180703,1993
Gary Athans,-10298, 
Julien Lizeroux,191459,05-09-1979
Hyung Chul Kim,,WAR
Anton Cassman,,ERR
Werner Franz,,WAR
Josef Heckelmiller,,ERR
Juergen Grabner,,ERR
Hans Stuffer,,WAR
Thomas Mermillod,,WAR
Fritzi Dopfer,,ERR
Harald Ii Man De,,WAR
TJ Lanning,,ERR
Stefan Krauss,,WAR
Nathaniel Smith,,ERR
Vladislav Novikov,,WAR
Alexander Schmid,,WAR
Vincent Blanc,,WAR
Giorgio Piantanida,,WAR
Gerhard Rimml,,ERR
Douglas Crawford,,WAR
Robert Zan,,WAR
Ozbi Oslak,,ERR
Toni Lindebner,,ERR
Pavel Pochobradski,,ERR
Jack John Miller,,WAR
Federico Simoni,,WAR
Uli Spiess,,ERR
Bernard Russi,,ERR
Peter Namberger,,WAR
Michael Mair,,WAR
David Currier,,ERR
P. Rachetto,,ERR
Francesco Gori,,WAR
Fritz Stoelzl,,ERR
Egon Zimmermann,,ERR
Jean Luc Fournier,,WAR
Shun Nakamura,,WAR
Jean Noel Augert,,WAR
Harald Rofner,,ERR
Phil Mahre,,WAR
A.J. Kitt,,ERR
Herbert Renoth,,WAR
Christian Hirschbuehel,,ERR
Gerard Rambaud,,ERR
Robert Ormsby,,ERR
Kristinn Bjornsson,,WAR
Sepp Wildgruber,,WAR
Hossein Kalhor,,WAR
Kevin Esteve Rigail,,ERR
Marco Pfiffner,,WAR
Peter Pen,,WAR
Jean Philippe Roy,,WAR
Stephane Exartier,,WAR
Bob Swan,,ERR
Adrien Duvillard,,WAR
Franck Woerndl,,ERR
Mario Matt,,WAR
Alexander Schastnih,,ERR
Michael Eder,,WAR
Xavier Fournier,,WAR
Andres Figueroa,,WAR
P Casey Puckett,,WAR
Markus Monsen,,ERR
Robin Back,,WAR
William Hansson,,WAR
Rod Hebron,,ERR
Andreas Voelgyesi,,ERR
Willy Delberghe,,ERR
Thomas Buergler,,WAR
Eberhard Schmalzl,,ERR
Valeri Tsiganov,,ERR
Henry Brechu,,ERR
Antal Gotzy,,ERR
Thomas Fischer,,WAR
Mike Carney,,ERR
Peter Luescher,,ERR
E. Wurner,,ERR
Edward Drake,,ERR
Urs Raeber,,ERR
Karl Thaler,,WAR
Roman Rupp,,WAR
Natko Zrncic-Dim,,ERR
Frank Piccard,,ERR
Bernhard Simonlehner,,ERR
Alberto Rovira Caus,,ERR
Hannes Spiss,,WAR
Markus Herrmann,,WAR
Chris Frank,,WAR
Michel Daetwyler,,ERR
Andrei Drygin,,ERR
Niklas Nilsson,,WAR
Anthony Guss,,ERR
Hans-Joerg Tauscher,,ERR
Ken Phelps,,ERR
Philippe Roux,,WAR
Michael Rishworth,,ERR
Marc Oliveras,,WAR
Georges Mauduit,,WAR
Bruno Noeckler,,ERR
Kristian Haug,,WAR
Bengt-Erik Grahn,,ERR
Bernard Fahner,,ERR
Hannes Zingerle,,WAR
Florian Beck,,WAR
Ion Nan,,WAR
Oskar Delago,,WAR
Giovanni Moro,,WAR
Alexander Koell,,WAR
Michael Riegler,,WAR
Hansi Hinterseer,,ERR
Bill Kidd,,ERR
Elmar Hofer,,WAR
Christoph Gruber,,WAR
Brian Mclaughlin,,WAR
Giuliano Besson,,ERR
Marc Garcia,,WAR
Jean Pierre Augert,,WAR
Florian Eckert,,ERR
Daniel Moar,,WAR
Markus Larsson,,WAR
Ryuunosuke Ohkoshi,,ERR
Iwan Bormolini,,ERR
Lars-Mikkel Bjoerge,,ERR
Robert Kelley,,ERR
R. Schaller,,ERR
Dong-Hyun Jung,,ERR
Thomas Hangl,,WAR
Oswald Toetsch,,ERR
Hans Hinterholzer,,ERR
Casper Dyrbye Naested,,ERR
Daniel Stripp,,ERR
Daniel Brunner,,WAR
Jonas Nilsson,,WAR
Arnt Erik Dale,,WAR
Markus Wasmeier,,WAR
Segei Maitakov,,ERR
Knut Erik Johannesen,,ERR
Sturla-Snaer Snorrason,,ERR
Giglio Tomasi,,WAR
PierLorenzo Clataud,,ERR
Thomas Kemenather,,ERR
Stephan Thanei,,ERR
Michael Frost,,ERR
Johnatan Longhi,,ERR
Donald Stevens,,WAR
Christian Forrer,,WAR
Andrzej Bachleda,,WAR
Aleksandr Zhirov,,ERR
Joan Verdu Sanchez,,ERR
Hoelje Tefre,,ERR
Joergen Sundqvist,,ERR
Camilo Lopez Anglada,,ERR
Sho Sato,,WAR
Jerome Noviant,,WAR
Oriol Dot Casellas,,ERR
Axel Esteve Jordana,,ERR
Mikail Renzhyn,,ERR
Siegfried Kerschbaumer,,ERR
Per Roennmark,,ERR
Bjoergvin Bjoergvinnson,,ERR
Philip Brown,,ERR
Bruno Kernen I,,WAR
Harry Laidlaw,,WAR
Aksel-Lund Svindal,,ERR
Eric Rolland,,WAR
Ernst Riedlsperger,,WAR
Mario Summermatter,,WAR
Martin Hansson,,WAR
Andy Mill,,WAR
Willi Favre,,ERR
Christian Soelle,,ERR
Piotr Habdas,,WAR
Adolf Roesti,,ERR
Jonathon Brauer,,ERR
Ivan Muraviev,,ERR
Bohumir Zeman,,WAR
Konrad  Kurt Ladstaetter,,ERR
Hans Bjoerge,,ERR
Maciej Gasienica,,ERR
Tom Stiansen,,WAR
Peter Mueller,,WAR
Pirmin Zurbriggen,,WAR
Toni Buergler,,ERR
Aleksandr Andrienko,,ERR
Rudolph Nierlich,,ERR
Alexey Chaadayev,,ERR
Erwin Resch,,WAR
David Griff,,WAR
Alexei Bogdanow,,ERR
Franz Gruber,,WAR
Lars Elton Myhre,,WAR
Doglas Hedin,,ERR
Pavel Chestakov,,ERR
Rolando Riccardo,,ERR
Rune Lindstroem,,ERR
Thomas Baldwin,,ERR
Osamu Kodama,,ERR
Philippe Hardy,,ERR
Daniel Mougel,,WAR
Christian Greber,,WAR
Thomas Bergamelli,,ERR
Aksel Patricksson,,ERR
Billy Taylor,,ERR
Gerhard Pfaffenbichler,,WAR
Hannes Paul Schmid,,WAR
Max Rieger,,WAR
Daniel Ericsson,,WAR
Leon Nkic,,ERR
Vladimir Makeev,,WAR
Eric Villiard,,WAR
Patrick Schweiger,,WAR
Petar Popangelov,,ERR
Peter Wirnsberger Ii,,ERR
Matteo Nana,,WAR
Jean Claude Killy,,WAR
C. Frommelt,,ERR
Alex Williams,,WAR
Bogumir Zeman,,ERR
Darin McBeath,,ERR
Andrej Bachleda,,ERR
Kyle Rasmussen,,WAR
Victor Malmstrom,,ERR
Gustav Oehrli,,WAR
Lorenzo Galli,,WAR
Dmitrij Ulianov,,ERR
Dean Todorov,,ERR
Philip Schuler,,WAR
Jean Jacques Bertrand,,WAR
Robin McLeish,,ERR
Julien Bal,,WAR
Peter Rohr,,WAR
Kamiljon Tukhtaev,,ERR
Miroslav Sochor,,ERR
Naomine Iwatani,,ERR
Pepi Strobl,,ERR
Magnus Andersson,,WAR
Rune Saefvenberg,,ERR
Wataru Mizuatani,,ERR
Thomas Hauser,,WAR
Guillem Capdevilla,,ERR
Kyohsuke Kohno,,ERR
Miso Magusar,,ERR
Min Heuk Kang,,WAR
Mads Boedkner,,ERR
Young Ha Ji,,WAR
Timothy Kelley,,ERR
Alexandr Horoshilov,,ERR
Ryoh Sugai,,ERR
Youhei Koyama,,ERR
Bostjan Jakopic,,ERR
Tiziano Bieller,,ERR
Claudio De Tassis,,ERR
Heini Messner,,ERR
Max Rossum  Van,,WAR
Paul Schwarzacher-j.,,ERR
Alek Glebov,,ERR
Jon Olsson,,WAR
C. Leitner,,ERR
Mike Farney,,ERR
Othmar Striedinger,,ERR
Christophe Ple',,WAR
Massimilano Iezza,,ERR
Carlo Janka,,ERR
Giorgio Rocca,,WAR
Stefan Niederseer,,WAR
Bruno Kernen,,WAR
David Ryding,,ERR
Gerhard Jaeger,,ERR
David Andersson,,WAR
Craig Shanholtzer,,ERR
Sepp Oberfrank,,WAR
Yvan Eggenberger,,ERR
Simen Ramberg Christensen,,WAR
Miroslav Pazout,,ERR
Mitko Hadiev,,ERR
Giulio Corradi,,ERR
Hans Enn,,WAR
Helmuth Gstrein,,ERR
M. Kashiwagi,,ERR
Michael Brunner,,WAR
Tristan Cochrane,,ERR
Emil Johansson,,WAR
Sebastian-Foss Solevaag,,ERR
Philipp Schmid,,WAR
Hansjoerg Schlager,,ERR
Willibald Zechner,,WAR
Christian Mayer,,WAR
Sung-Hyun Kyung,,ERR
Jacques Luethy,,ERR
Alex Benianidze,,ERR
Riccardo Foppa,,ERR
Scott Hoffmann,,ERR
David Anderson,,WAR
Ralph Kreuzer,,ERR
Engelhard Pargaetzi,,ERR
Peter Wirnsberger,,WAR
Michael Haas,,WAR
David Stapleton,,ERR
Nikos Bonos,,ERR
Luis Fernandez Ochoa,,WAR
Marco Sullivan,,WAR
Georg Sonnnenberger,,ERR
Marc Gini,,WAR
